s	Dr	Dphi+	Dphi-	Branch	Width	R	G	B	L					
1	1	0.00001	-0.00001	0	0.4	159.0440048	139.6788439	135.5250703	0.770809229	0.8				
2	0.9735	0	0	2	0.4	188.6267562	152.231005	143.0241098	0.791474033	0.8				
3	0.94770225	1.047197551	-1.047197551	0	0.4	214.4089419	164.5310662	150.4711777	0.81185099	0.8				
4	0.92258814	0	0	0	2	234.7875506	176.4561295	157.8405132	0.831798674	4			1.047197551	-1.047197551
5	0.898139555	0	0	0	2	248.495539	187.8870434	165.106624	0.851178641	4			0.9735	
6	0.874338856	0	0	0	2	254.6806108	198.7095941	172.2443752	0.869856385	4				
7	0.851168877	0	0	0	0.4	252.9582082	208.8156463	179.2290758	0.887702274	0.8				
8	0.828612902	0	0	2	0.4	243.4354219	218.1042235	186.0365643	0.904592451	0.8				
9	0.80665466	0	0	0	0.4	226.7043326	226.4825175	192.6432922	0.92040969	0.8				
10	0.785278311	0	0	0	0.4	203.8051984	233.8668151	199.0264053	0.935044213	0.8				
11	0.764468436	0	0	0	2	176.1617765	240.1833347	205.1638232	0.948394451	4				
12	0.744210022	0	0	0	2	145.492801	245.3689639	211.0343152	0.960367746	4				
13	0.724488457	1.047197551	-1.047197551	0	2	113.7051203	249.3718895	216.6175741	0.970881	4				
14	0.705289513	0	0	0	0.4	82.77513847	252.1521157	221.8942861	0.979861245	0.8				
15	0.686599341	0	0	0	0.4	54.62593186	253.6818633	226.8461982	0.987246155	0.8				
16	0.668404458	0	0	0	0.4	31.00768185	253.9458476	231.4561804	0.992984475	0.8				
17	0.65069174	0	0	0	0.4	13.38885683	252.9414309	235.7082861	0.99703638	0.8				
18	0.633448409	0	0	2	0.4	2.864909998	250.6786491	239.5878061	0.999373747	0.8				
19	0.616662026	0	0	0	0.4	0.090169406	247.1801111	243.0813205	0.999980353	0.8				
20	0.600320482	0	0	0	0.4	5.23715498	242.4807732	246.1767444	0.998851989	0.8				
21	0.58441199	0	0	0	2	17.98585209	236.6275896	248.8633702	0.995996487	4				
22	0.568925072	0	0	0	2	37.54360849	229.6790433	251.1319042	0.991433663	4				
23	0.553848557	1.047197551	-1.047197551	0	2	62.69441762	221.7045619	252.9744991	0.985195188	4				
24	0.539171571	0	0	0	0.4	91.87452398	212.7838239	254.3847809	0.977324357	0.8				
25	0.524883524	0	0	0	0.4	123.2696499	203.0059623	255.3578713	0.967875798	0.8				
26	0.510974111	0	0	0	0.4	154.9277985	192.4686742	255.890404	0.956915088	0.8				
27	0.497433297	0	0	0	0.4	184.8806194	181.2772448	255.980537	0.944518299	0.8				
28	0.484251314	0	0	2	0.4	211.2657913	169.5434951	255.6279584	0.93077147	0.8				
29	0.471418654	0	0	0	0.4	232.4428121	157.3846648	254.8338879	0.915770011	0.8				
30	0.45892606	0	0	0	0.4	247.094997	144.922241	253.6010724	0.899618036	0.8				
31	0.44676452	0	0	0	2	254.3113443	132.2807441	251.9337764	0.882427649	4				
32	0.43492526	0	0	0	2	253.6431764	119.5864838	249.8377674	0.864318157	4				
33	0.42339974	1.047197551	-1.047197551	0	2	245.1320368	106.9662968	247.320296	0.845415248	4				
34	0.412179647	0	0	0	0.4	229.3071069	94.54628004	244.3900706	0.825850117	0.8				
35	0.401256887	0	0	0	0.4	207.1523041	82.45053008	241.0572276	0.805758554	0.8				
36	0.390623579	0	0	0	0.4	180.0451069	70.7999037	237.3332959	0.785280002	0.8				
37	0.380272054	0	0	0	0.4	149.6709094	59.7108101	233.2311573	0.764556592	0.8				
38	0.370194845	0	0	2	0.4	117.9182321	49.29404785	228.7650021	0.743732154	0.8				
39	0.360384681	0	0	0	0.4	86.76130281	39.65369778	223.9502795	0.722951216	0.8				
40	0.350834487	0	0	0	0.4	58.13730836	30.8860831	218.8036448	0.702358009	0.8				
41	0.341537373	0	0	0	2	33.82595012	23.07880689	213.3429013	0.682095458	4				
42	0.332486633	0	0	0	2	15.3387906	16.3098769	207.5869387	0.662304193	4				
43	0.323675737	1.047197551	-1.047197551	0	2	3.82527184	10.64692603	201.5556682	0.643121575	4				
44	0.31509833	0	0	0	0.4	0.001248665	6.146536616	195.2699532	0.624680738	0.8				
45	0.306748225	0	0	0	0.4	4.104480317	2.853675057	188.7515372	0.60710967	0.8				
46	0.298619397	0	0	0	0.4	15.87984773	0.801242539	182.022969	0.590530323	0.8				
47	0.290705983	0	0	0	0.4	34.59521558	0.009746289	175.107524	0.575057763	0.8				
48	0.283002274	0	0	2	0.4	59.08695295	0.487094678	168.0291241	0.560799376	0.8				
49	0.275502714	0	0	0	0.4	87.83228224	2.228518197	160.8122551	0.547854123	0.8				
50	0.268201892	0	0	0	0.4	119.0439581	5.216617118	153.4818817	0.536311848	0.8				
51	0.261094542	0	0	0	2	150.7813897	9.421535344	146.063361	0.52625266	4				
52	0.254175536	0	0	0	2	181.0712972	14.80125872	138.5823554	0.517746375	4				
53	0.247439885	1.047197551	-1.047197551	0	2	208.0304009	21.30203484	131.0647432	0.510852028	4				
54	0.240882728	0	0	0	0.4	229.9825144	28.85891008	123.5365294	0.505617471	0.8				
55	0.234499335	0	0	0	0.4	245.5627615	37.39637865	116.0237557	0.502079032	0.8				
56	0.228285103	0	0	0	0.4	253.8024379	46.82913699	108.5524104	0.500261271	0.8				
57	0.222235548	0	0	0	0.4	254.1892404	57.06293609	101.1483383	0.500176803	0.8				
58	0.216346306	0	0	2	0.4	246.6991196	67.99552321	93.83715178	0.501826214	0.8				
59	0.210613129	0	0	0	0.4	231.7977748	79.51766357	86.64414171	0.505198058	0.8				
60	0.205031881	0	0	0	0.4	210.4116996	91.51423173	79.59419025	0.510268931	0.8				
61	0.199598536	0	0	0	2	183.8705765	103.865362	72.71168464	0.517003641	4				
62	0.194309175	0	0	0	2	153.8246039	116.4476458	66.02043293	0.525355444	4				
63	0.189159982	1.047197551	-1.047197551	0	2	122.141895	129.1353654	59.54358155	0.535266377	4				
64	0.184147242	0	0	0	0.4	90.79232713	141.801749	53.30353529	0.546667652	0.8				
65	0.17926734	0	0	0	0.4	61.72506453	154.3202385	47.3218798	0.559480141	0.8				
66	0.174516756	0	0	0	0.4	36.74736885	166.5657532	41.61930686	0.573614919	0.8				
67	0.169892062	0	0	0	0.4	17.41223222	178.4159399	36.21554287	0.588973884	0.8				
68	0.165389922	0	0	2	0.4	4.921819785	189.7523956	31.1292806	0.60545044	0.8				
69	0.161007089	0	0	0	0.4	0.052724902	200.4618501	26.37811449	0.622930231	0.8				
70	0.156740401	0	0	0	0.4	3.107684303	210.437298	21.97847981	0.64129194	0.8				
71	0.152586781	0	0	0	2	13.89675541	219.5790681	17.94559584	0.66040813	4				
72	0.148543231	0	0	0	2	31.74912604	227.7958187	14.29341315	0.680146125	4				
73	0.144606835	1.047197551	-1.047197551	0	2	55.55482224	235.0054508	11.03456543	0.700368937	4				
74	0.140774754	0	0	0	0.4	83.83372115	241.1359282	8.180325704	0.720936209	0.8				
75	0.137044223	0	0	0	0.4	114.8275778	246.1259971	5.740567392	0.741705196	0.8				
76	0.133412551	0	0	0	0.4	146.6093442	249.9257983	3.723730128	0.762531752	0.8				
77	0.129877119	0	0	0	0.4	177.2029842	252.4973657	2.136790576	0.783271333	0.8				
78	0.126435375	0	0	2	0.4	204.7063334	253.8150049	0.985238294	0.803779997	0.8				
79	0.123084838	0	0	0	0.4	227.4093667	253.8655504	0.273056743	0.823915405	0.8				
80	0.119823089	0	0	0	0.4	243.9005195	252.6484973	0.002709507	0.843537808	0.8				
81	0.116647777	0	0	0	2	253.1544517	250.176006	0.175131776	0.862511018	4				
82	0.113556611	0	0	0	2	254.5957988	246.4727807	0.789727104	0.880703355	4				
83	0.110547361	1.047197551	-1.047197551	0	2	248.1349446	241.5758229	1.844369476	0.897988554	4				
84	0.107617856	0	0	0	0.4	234.1735939	235.5340613	3.335410664	0.91424665	0.8				
85	0.104765983	0	0	0	0.4	213.5797958	228.4078633	5.257692843	0.929364803	0.8				
86	0.101989684	0	0	0	0.4	187.6339729	220.2684314	7.604566435	0.943238089	0.8				
