s	Dr	Dphi+	Dphi-	Branch Angle	Branch	Branch Direction	Repeats	Repeat from	Width	R	G	B	L	1
1	1	0	0	2.094395102	0		0		0.472693858	142.0339048	179.358922	225.1706665	0.974626511	0.97
2	0.95	0.4	-0.4	1.570796327	4	L	0		0.424519462	156.3783378	222.2509652	149.6401427	0.902368927	0.9409
3	0.95	0.4	-0.4	1.570796327	0		0		0.362435139	170.3462976	248.7597058	63.75	0.794227811	0.912673
4	0.95	0.4	-0.4	1.570796327	0		0		0.295097603	183.7556904	254.3015417	7.68919085	0.666666667	0.88529281
5	0.95	0.4	-0.4	1.570796327	0		0		0.231474128	196.4317042	237.918239	7.68919085	0.539105523	0.858734026
6	0.95	0.4	-0.4	1.570796327	0		0		0.179490643	208.2090879	202.4426197	63.75	0.430964406	0.832972005
7	0.95	0.4	-0.4	1.570796327	0		0		0.144914479	218.9343051	154.0087406	149.6401427	0.358706822	0.807982845
8	0.95	0.4	-0.4	1.570796327	0		0		0.130623893	228.4675364	100.9912594	225.1706665	0.333333333	0.783743359
9	0.95	0.4	-0.4	1.570796327	0		0		0.136350034	236.6845014	52.55738033	255	0.358706822	0.760231059
10	0.95	0.4	-0.4	1.570796327	0		0		0.158901776	243.4780794	17.08176102	225.1706665	0.430964406	0.737424127
11	1	0.1	-0.1	2.094395102	3	R	0		0.192811468	248.7597058	0.698458341	149.6401427	0.539105523	0.715301403
12	1	0.1	-0.1	2.094395102	0		0		0.231280787	252.4605265	6.240294172	63.75	0.666666667	0.693842361
13	1	0.1	-0.1	2.094395102	0		0		0.267268416	254.5322957	32.74903475	7.68919085	0.794227811	0.67302709
14	1	0.1	-0.1	2.094395102	0		0		0.294549586	254.9480046	75.64107801	7.68919085	0.902368927	0.652836277
15	1	0.1	-0.1	2.094395102	0		0		0.308591698	253.7022338	127.5	63.75	0.974626511	0.633251189
16	1	0.1	-0.1	2.094395102	0		0		0.307126827	250.811224	179.358922	149.6401427	1	0.614253653
17	1	0.1	-0.1	2.094395102	0		0		0.290353929	246.3126637	222.2509652	225.1706665	0.974626511	0.595826044
18	1	0.1	-0.1	2.094395102	3	L	0		0.26076263	240.2651987	248.7597058	255	0.902368927	0.577951263
19	1	0.1	-0.1	2.094395102	0		0		0.222627109	232.7476669	254.3015417	225.1706665	0.794227811	0.560612725
20	1	0.1	-0.1	2.094395102	0		0		0.181264781	223.8580707	237.918239	149.6401427	0.666666667	0.543794343
21	1	0.1	-0.1	2.094395102	0		0		0.142183829	213.7122998	202.4426197	63.75	0.539105523	0.527480513
22	1	0.1	-0.1	2.094395102	0		0		0.110252783	202.4426197	154.0087406	7.68919085	0.430964406	0.511656097
23	1	0.1	-0.1	2.094395102	0		0		0.089014248	190.1959479	100.9912594	7.68919085	0.358706822	0.496306414
24	1	0.1	-0.1	2.094395102	0		0		0.080236204	177.1319386	52.55738033	63.75	0.333333333	0.481417222
25	1	0.1	-0.1	2.094395102	0		0		0.083753506	163.420901	17.08176102	149.6401427	0.358706822	0.466974705
26	1	0.1	-0.1	2.094395102	0		0		0.097605996	149.2415796	0.698458341	225.1706665	0.430964406	0.452965464
27	0.85	0.4	-0.4	1.047197551	6	L	0		0.118435149	134.7788234	6.240294172	255	0.539105523	0.4393765
28	0.85	0.4	-0.4	1.047197551	0		0		0.142065068	120.2211766	32.74903475	225.1706665	0.666666667	0.426195205
29	0.85	0.4	-0.4	1.047197551	0		0		0.164170601	105.7584204	75.64107801	149.6401427	0.794227811	0.413409349
30	0.85	0.4	-0.4	1.047197551	0		0		0.180928159	91.579099	127.5	63.75	0.902368927	0.401007069
31	0.85	0.4	-0.4	1.047197551	0		0		0.189553578	77.86806144	179.358922	7.68919085	0.974626511	0.388976856
32	0.85	0.4	-0.4	1.047197551	0		2	26	0.188653775	64.80405211	222.2509652	7.68919085	1	0.377307551
33	0.85	0.4	-0.4	1.047197551	0		0		0.178350962	52.55738033	248.7597058	63.75	0.974626511	0.365988324
34	0.85	0.4	-0.4	1.047197551	0		0		0.160174398	41.28770022	254.3015417	149.6401427	0.902368927	0.355008675
